Move,Category,Description,Type,PP,Power,Acc,Launch,Spray,Pull,Path
Pinpoint,Pitching,An incredibly accurate four-seam.,Bug,10,80,100,,,,Straight
Thread,Pitching,An incredibly accurate two-seam.,Bug,20,75,100,,,,Fade
Silky Swing,Batting,Lowers the fielder's Speed by 1 stage.,Bug,30,50,95,15,45,,
Dragon Bunt,Batting,A drag bunt that wears down the fielder 40 HP.,Dragon,10,40,100,-15,5,,
Dragonball,Pitching,A shuuto with an off-center pivot.,Dragon,10,70,100,,,,Fade
Elec. Slider,Pitching,A hard slider with a spark of electricity.,Electric,10,80,90,,,,Slider
LightninBolt,Pitching,A four-seam fastball that comes like a bolt of lightning.,Electric,10,105,85,,,,Straight
Shocker,Pitching,A highly charged two-seamer with an eratic break.,Electric,15,90,80,,,,Fade
Thunderball,Pitching,A deceiving offsepeed pitch.,Electric,30,65,70,,,,Straight
ThunderStick,Batting,Has a ~10% chance to paralyze the fielder the ball is hit to.,Electric,10,120,70,15,,,
Beanball,Pitching,A four-seam fastball aimed right at the batter. 100% chance of hitting batter.,Fighting,20,100,90,,,,Straight
Brushback,Pitching,A four-seam fastball thrown inside. 50% chance of hitting batter. Can cause a batter to flinch.,Fighting,15,90,90,,,,Straight
Comebacker,Batting,"Hard linedrive, right at the pitcher.",Fighting,5,120,85,3,,,
Lean In,Batting,Fake a check-swing and lean into anything close.,Fighting,20,0,50,,,,
Taunt,Batting,Step out of the box and make a face. Makes pitchers throw wildly inside.,Fighting,50,0,50,,,,
Fireball,Pitching,"Pure fire, right down the pipe.",Fire,30,100,90,,,,Straight
Heater,Pitching,A four-seam fastball with some heat on it.,Fire,15,90,95,,,,Straight
High Heat,Pitching,Some serious heat up in the zone.,Fire,5,120,50,,,,Straight
Scorch,Batting,A hard hit ball with a ~10% chance to burn the fielder.,Fire,25,100,100,20,,,
Bender,Pitching,A curveball that seems to drop out of the sky.,Flying,10,70,65,,,,Curve
Fly,Batting,An uppercut swing with a high chance of a fly ball.,Flying,15,70,95,35,,,
Riser,Pitching,A gravity-defying four-seam with a monster spin-rate.,Flying,10,120,75,,,,Rise
Mock,Batting,Takes a pitch to mock the pitcher. 20% chance of getting thrown at.,Flying,10,0,20,,,,
Sky Smash,Batting,"Batter digs in, takes the first pitch, and smashes anything close on the second pitch.",Flying,5,140,90,45,,,
